,Branch length stretch,county,date,numdate
A_sw_France_22-200113_2020_NE_22_2020.34444444444,2.0,22.0,2020.3444444444397,2020.3232935713486
A_sw_France_22-200171_2020_NE_22_2020.28888888889,9.99998694944072e-07,22.0,2020.2888888888897,2020.2674726260889
A_sw_France_22-200173_2020_E_22_2020.43888888889,0.9982628211617374,22.0,2020.4388888888898,2020.418189178773
A_sw_France_22-200175_2020_PSE_22_2020.43888888889,9.99998694944072e-07,22.0,2020.4388888888898,2020.4181891790483
A_sw_France_22-200176_2020_PSE_22_2020.43611111111,9.999986949439876e-07,22.0,2020.4361111111102,2020.4153981317695
A_sw_France_22-200177_2020_NE_22_2020.44444444444,0.9991274669137841,22.0,2020.4444444444398,2020.4237712733216
A_sw_France_22-200207_2020_PSE_22_2020.44722222222,1.0320892416397331,22.0,2020.4472222222198,2020.4265623206009
A_sw_France_22-200210_2020_NE_22_2020.51388888889,1.074001421717151,22.0,2020.5138888888898,2020.4935474552528
A_sw_France_22-200212_2020_NE_22_2020.51944444444,1.2654315630948663,22.0,2020.5194444444396,2020.499129549801
A_sw_France_22-200213_2020_NE_22_2020.525,1.000000429667548e-06,22.0,2020.525,2020.5047116446353
A_sw_France_22-200215_2020_NE_22_2020.53333333333,2.0,22.0,2020.5333333333301,2020.5130847861878
A_sw_France_22-200228_2020_N_22_2020.44444444444,9.999986949439876e-07,22.0,2020.4444444444398,2020.423771273597
A_sw_France_22-200229_2020_NE_22_2020.48333333333,1.7048798389880713,22.0,2020.4833333333302,2020.4628459352014
A_sw_France_22-200235_2020_NE_22_2020.54444444444,1.6434858623817852,22.0,2020.5444444444397,2020.5242489752943
A_sw_France_22-200236_2020_NE_22_2020.54444444444,2.0,22.0,2020.5444444444397,2020.5242489752943
A_sw_France_22-200237_2020_NE_22_2020.55,1.6672568321794645,22.0,2020.55,2020.5298310698531
A_sw_France_22-200239_2020_NE_22_2020.54722222222,2.0,22.0,2020.54722222222,2020.5270400225738
A_sw_France_22-200241_2020_NE_22_2020.54722222222,1.6550418251349244,22.0,2020.54722222222,2020.5270400225738
A_sw_France_22-200242_2020_NE_22_2020.56111111111,0.9269602810351019,22.0,2020.5611111111102,2020.5409952589603
A_sw_France_22-200249_2020_NE_22_2020.57222222222,0.7401965288931762,22.0,2020.5722222222198,2020.552159448067
A_sw_France_22-200255_2020_NE_22_2020.575,1.3310311836025055,22.0,2020.575,2020.5549504953465
A_sw_France_22-200258_2020_NE_22_2020.58611111111,0.9982632985528159,22.0,2020.5861111111103,2020.5661146844536
A_sw_France_22-200260_2020_E_22_2020.58333333333,2.0,22.0,2020.58333333333,2020.563323637174
A_sw_France_22-200269_2020_NE_22_2020.56388888889,2.0,22.0,2020.5638888888898,2020.543786306239
A_sw_France_22-200278_2020_NE_22_2020.425,0.9991309225852986,22.0,2020.425,2020.404233942387
A_sw_France_22-200281_2020_NE_22_2020.45277777778,9.99998694944072e-07,22.0,2020.45277777778,2020.4321444154348
A_sw_France_22-200283_2020_PSE_22_2020.45833333333,9.99998694944072e-07,22.0,2020.45833333333,2020.4377265099833
A_sw_France_22-200286_2020_NE_22_2020.41388888889,0.9975579031649039,22.0,2020.4138888888897,2020.3930697532796
A_sw_France_22-200322_2020_NPS_22_2020.39444444444,9.99998694944021e-07,22.0,2020.3944444444396,2020.3735324226102
A_sw_France_22-200382-2_2020_NE_22_2020.53611111111,0.5560169627778417,22.0,2020.5361111111101,2020.515875833467
A_sw_France_22-200413_2020_NE_22_2020.475,0.9991805330920672,22.0,2020.475,2020.4544727933733
A_sw_France_22-200435-1_2020_PSE_22_2020.55833333333,1.068166571537185,22.0,2020.55833333333,2020.5382042116807
A_sw_France_22-200436-2_2020_NE_22_2020.55555555556,0.3710078992552977,22.0,2020.5555555555602,2020.535413164412
A_sw_France_22-200454-1_2020_NE_22_2020.54444444444,0.98501787241276,22.0,2020.5444444444397,2020.5242489752943
A_sw_France_22-200456-2_2020_NE_22_2020.51388888889,0.8494528716076863,22.0,2020.5138888888898,2020.4935474552528
A_sw_France_22-200486-1_2020_NE_22_2020.54722222222,0.5986717248977733,22.0,2020.54722222222,2020.5270400225738
A_sw_France_22-200505-2_2020_NE_22_2020.55555555556,0.3936442600513235,22.0,2020.5555555555602,2020.535413164412
A_sw_France_22-210030-2_2020_NE_22_2020.56944444444,1.000000429667574e-06,22.0,2020.5694444444398,2020.549368401063
A_sw_France_22-210039-1_2020_NE_22_2020.50555555556,0.9840273160038349,22.0,2020.5055555555602,2020.4851743134254
A_sw_France_22-210119-1_2020_NE_22_2020.95277777778,2.0,22.0,2020.95277777778,2020.934532925024
A_sw_France_22-210232-2_2021_NE_22_2021.04722222222,2.0,22.0,2021.04722222222,2021.0294285324383
A_sw_France_22-210234-2_2021_NE_22_2021.05277777778,1.2679948328699502,22.0,2021.0527777777802,2021.035010626997
A_sw_France_22-210252-1_2021_N_22_2021.07222222222,1.0767587216375742,22.0,2021.0722222222198,2021.0545479579314
A_sw_France_22-210267-4_2021_NE_22_2021.27222222222,0.9422726847788223,22.0,2021.2722222222199,2021.2555033618771
A_sw_France_22-210295-4_2021_NE_22_2021.32222222222,0.5363553158465528,22.0,2021.3222222222198,2021.3057422128636
A_sw_France_22-210301-6_2021_NE_22_2021.13055555556,0.8354995227675526,22.0,2021.1305555555602,2021.113159950756
A_sw_France_22-210311-1_2021_NE_22_2021.21388888889,0.7339641343497216,22.0,2021.2138888888899,2021.196891369063
A_sw_France_22-210317-2_2021_N_22_2021.21666666667,0.8245884863623809,22.0,2021.2166666666699,2021.1996824163423
A_sw_France_22-210399-2_2021_NE_22_2021.26666666667,0.9671830954433378,22.0,2021.2666666666698,2021.2499212673288
A_sw_France_22-210446-1_2021_NE_22_2021.40555555556,0.9244172110474361,22.0,2021.4055555555603,2021.3894736311815
A_sw_France_22-210505-3_2021_PSE_22_2021.77777777778,2.0,22.0,2021.77777777778,2021.7634739663004
A_sw_France_22-210512-5_2021_NE_22_2021.80555555556,0.6130984999637957,22.0,2021.8055555555602,2021.791384439073
A_sw_France_22-220119-1_2022_NE_22_2022.04444444444,2.0,22.0,2022.0444444444397,2022.0314145048876
A_sw_France_22-230181-1_2022_NE_22_2022.93055555556,0.8518253489941728,22.0,2022.9305555555602,2022.921758586268
A_sw_France_28-200135_2020_NE_28_2020.38333333333,2.0,28.0,2020.38333333333,2020.3623682332284
A_sw_France_29-200133_2020_NE_29_2020.38055555556,1.0807680808302207,29.0,2020.3805555555602,2020.3595771859593
A_sw_France_29-200185_2020_NE_29_2020.44722222222,1.0368318839948807,29.0,2020.4472222222198,2020.4265623206009
A_sw_France_29-200188_2020_NE_29_2020.45833333333,1.3269876303247183,29.0,2020.45833333333,2020.437726509708
A_sw_France_29-200252_2020_NE_29_2020.56666666667,2.0,29.0,2020.56666666667,2020.5465773535186
A_sw_France_29-200254_2020_NE_29_2020.58055555556,1.7131350523484739,29.0,2020.5805555555603,2020.560532589905
A_sw_France_29-200263_2020_NE_29_2020.425,0.9753016477100787,29.0,2020.425,2020.404233942387
A_sw_France_29-200264_2020_E_29_2020.59444444444,2.0,29.0,2020.5944444444397,2020.5744878262808
A_sw_France_29-200324_2020_NE_29_2020.44722222222,9.999986949440865e-07,29.0,2020.4472222222198,2020.426562320876
A_sw_France_29-200383-3_2020_NE_29_2020.54722222222,0.5970408254300675,29.0,2020.54722222222,2020.5270400225738
A_sw_France_29-200507-2_2020_NE_29_2020.56666666667,0.3291739122703125,29.0,2020.56666666667,2020.5465773535186
A_sw_France_29-210041-1_2020_NE_29_2020.5,0.31059138473040093,29.0,2020.5,2020.4795922188666
A_sw_France_29-210451-2_2021_NE_29_2021.41944444444,0.9638794893801989,29.0,2021.4194444444397,2021.403428867557
A_sw_France_29-210515-1_2021_NE_29_2021.825,1.0545810298509768,29.0,2021.825,2021.8109217700076
A_sw_France_29-220173-1_2022_N_29_2022.04722222222,0.9534868482489139,29.0,2022.04722222222,2022.0342055521671
A_sw_France_29-220615-2_2022_N_29_2022.727778,0.8111968048359031,29.0,2022.7277780000002,2022.7180123583246
A_sw_France_29-220685-3_2022_E_29_2022.916667,0.8754634307537681,29.0,2022.9166670000002,2022.907803684804
A_sw_France_35-200052_2020_E_35_2020.13333333333,0.6810789804593813,35.0,2020.13333333333,2020.1111739782962
A_sw_France_35-200154_2020_NE_35_2020.421,9.99998694944072e-07,35.0,2020.421,2020.4002148345835
A_sw_France_35-200206_2020_NE_35_2020.43888888889,0.9946270638259904,35.0,2020.4388888888898,2020.418189178773
A_sw_France_35-200238_2020_NE_35_2020.54722222222,1.0000004296675214e-06,35.0,2020.54722222222,2020.5270400228492
A_sw_France_35-200251_2020_NE_35_2020.57777777778,1.0000004296675142e-06,35.0,2020.57777777778,2020.5577415429009
A_sw_France_35-200270_2020_NE_35_2020.56111111111,0.5309065320282197,35.0,2020.5611111111102,2020.5409952589603
A_sw_France_35-200271_2020_NE_35_2020.55833333333,0.4992684801427004,35.0,2020.55833333333,2020.5382042116807
A_sw_France_35-200275_2020_NE_35_2020.55555555556,2.0,35.0,2020.5555555555602,2020.535413164412
A_sw_France_35-200295_2020_NE_35_2020.575,1.0000004296675142e-06,35.0,2020.575,2020.5549504956216
A_sw_France_35-200298_2020_PSE_35_2020.55555555556,2.0,35.0,2020.5555555555602,2020.535413164412
A_sw_France_35-200299_2020_NE_35_2020.56388888889,1.0000004296675142e-06,35.0,2020.5638888888898,2020.5437863065144
A_sw_France_35-200300_2020_NE_35_2020.56944444444,1.032016083984603,35.0,2020.5694444444398,2020.5493684007877
A_sw_France_35-200332_2020_NE_35_2020.55,1.0000004296675142e-06,35.0,2020.55,2020.5298310701285
A_sw_France_35-200425-2_2020_NE_35_2020.46944444444,9.99998694944072e-07,35.0,2020.4694444444397,2020.4488906990898
A_sw_France_35-200437-1_2020_NE_35_2020.55555555556,0.47773273229517976,35.0,2020.5555555555602,2020.535413164412
A_sw_France_35-200438-2_2020_NE_35_2020.49444444444,2.0,35.0,2020.4944444444398,2020.4740101243078
A_sw_France_35-200469-2_2020_NE_35_2020.525,0.34785951495164114,35.0,2020.525,2020.50471164436
A_sw_France_35-200470-2_2020_NE_35_2020.53888888889,1.0000004296674922e-06,35.0,2020.5388888888897,2020.518666881021
A_sw_France_35-200508-2_2020_NE_35_2020.55,0.9700072374894737,35.0,2020.55,2020.5298310698531
A_sw_France_35-210062-6_2021_PSE_35_2021.02777777778,2.0,35.0,2021.02777777778,2021.0098912015037
A_sw_France_35-210089-3_2021_NE_35_2021.04722222222,1.0000004296676273e-06,35.0,2021.04722222222,2021.0294285327136
A_sw_France_35-210129-2_2021_E_35_2021.03055555556,1.0000004296676273e-06,35.0,2021.0305555555603,2021.0126822490586
A_sw_France_35-210140-1_2021_NE_35_2021.12222222222,0.7385534283164739,35.0,2021.1222222222198,2021.1047868089177
A_sw_France_35-210165-4_2021_PSE_35_2021.14166666667,1.3221109562241802,35.0,2021.1416666666698,2021.1243241398627
A_sw_France_35-210254-2_2021_NE_35_2021.07222222222,0.9247831891359052,35.0,2021.0722222222198,2021.0545479579314
A_sw_France_35-210370-1_2021_NE_35_2021.38611111111,0.9495978514077107,35.0,2021.3861111111103,2021.3699363002368
A_sw_France_35-210501-6_2021_NE_35_2021.75833333333,1.3146522921564905,35.0,2021.75833333333,2021.7439366353556
A_sw_France_35-210519-2_2021_NE_35_2021.66666666667,1.0000455447692798,35.0,2021.66666666667,2021.6518320752205
A_sw_France_35-220448-3_2022_NE_35_2022.48888888889,0.8239690422000455,35.0,2022.4888888888897,2022.4779820692172
A_sw_France_37-220188-1_2022_NE_37_2022.2,2.0,37.0,2022.2,2022.1877131524059
A_sw_France_44-200139_2020_NE_44_2020.30277777778,2.0,44.0,2020.3027777777802,2020.2814278622004
A_sw_France_44-200384-2_2020_NE_44_2020.54166666667,2.0,44.0,2020.54166666667,2020.5214579280253
A_sw_France_44-200460-3_2020_NE_44_2020.525,0.42757255725600396,44.0,2020.525,2020.50471164436
A_sw_France_44-200510-2_2020_N_44_2020.55833333333,2.0,44.0,2020.55833333333,2020.5382042116807
A_sw_France_44-200512-1_2020_NE_44_2020.55555555556,1.0000004296675834e-06,44.0,2020.5555555555602,2020.535413164687
A_sw_France_44-220189-1_2022_E_44_2022.22222222222,0.8581166337590672,44.0,2022.22222222222,2022.2100415306197
A_sw_France_49-200216_2020_E_49_2020.53333333333,0.9785953737197869,49.0,2020.5333333333301,2020.5130847861878
A_sw_France_49-200353-3_2020_NE_49_2020.51944444444,2.0,49.0,2020.5194444444396,2020.499129549801
A_sw_France_49-200490-3_2020_NPS_49_2020.53055555556,1.0084104322436283,49.0,2020.5305555555603,2020.5102937389188
A_sw_France_49-220101-1_2022_NE_49_2022.14444444444,0.5675892667287601,49.0,2022.1444444444396,2022.1318922068606
A_sw_France_49-230070-3_2022_NE_49_2022.99444444444,1.4601885225036204,49.0,2022.9944444444398,2022.9859526736302
A_sw_France_50-200471-3_2020_NE_50_2020.49722222222,0.9707117804968873,50.0,2020.4972222222198,2020.476801171587
A_sw_France_50-210307-1_2021_NE_50_2021.19444444444,0.7329509259132488,50.0,2021.1944444444398,2021.1773540381182
A_sw_France_50-210417-5_2021_NE_50_2021.53333333333,1.6371207524821993,50.0,2021.5333333333301,2021.5178618059167
A_sw_France_53-200134-3_2020_NE_53_2020.38055555556,9.999986949440899e-07,53.0,2020.3805555555602,2020.3595771862347
A_sw_France_53-200155_2020_NE_53_2020.40277777778,2.0,53.0,2020.40277777778,2020.3819055641732
A_sw_France_53-210090-4_2021_NE_53_2021.05277777778,2.0,53.0,2021.0527777777802,2021.035010626997
A_sw_France_53-210091-2_2021_N_53_2021.05555555556,2.0,53.0,2021.0555555555602,2021.0378016742764
A_sw_France_53-210237--123_2021_NE_53_2021.03333333333,1.0000004296675574e-06,53.0,2021.0333333333301,2021.0154732963274
A_sw_France_53-230071-5_2022_NE_53_2022.89166666667,0.8088466862945898,53.0,2022.8916666666698,2022.8826839243882
A_sw_France_56-200050_2020_NE_56_2020.11666666667,9.999986949440454e-07,56.0,2020.11666666667,2020.0944276949158
A_sw_France_56-200112_2020_N_56_2020.34444444444,9.999986949440162e-07,56.0,2020.3444444444397,2020.3232935716237
A_sw_France_56-200169_2020_PSE_56_2020.34166666667,0.9250492028302895,56.0,2020.3416666666699,2020.3205025240795
A_sw_France_56-200201_2020_NE_56_2020.31111111111,9.999986949440865e-07,56.0,2020.3111111111102,2020.2898010043034
A_sw_France_56-200231_2020_N_56_2020.475,2.0,56.0,2020.475,2020.4544727933733
A_sw_France_56-200256_2020_E_56_2020.58611111111,2.0,56.0,2020.5861111111103,2020.5661146844536
A_sw_France_56-200257_2020_E_56_2020.58333333333,1.0000004296674636e-06,56.0,2020.58333333333,2020.5633236374495
A_sw_France_56-200259_2020_NPS_56_2020.58611111111,0.9552548734695508,56.0,2020.5861111111103,2020.5661146844536
A_sw_France_56-200347_2020_N_56_2020.56944444444,2.0,56.0,2020.5694444444398,2020.5493684007877
A_sw_France_56-200441-3_2020_N_56_2020.55277777778,0.3981785383339187,56.0,2020.5527777777802,2020.5326221171326
A_sw_France_56-220533-3_2022_NE_56_2022.66388888889,1.5623698417144636,56.0,2022.6638888888897,2022.6538180476698
A_sw_France_56-220651-2_2022_E_56_2022.85,1.786530559967687,56.0,2022.85,2022.8408182152295
A_sw_France_72-200205_2020_NE_72_2020.42777777778,2.0,72.0,2020.4277777777802,2020.4070249896665
A_sw_France_72-200244_2020_NE_72_2020.53888888889,0.8258744004188511,72.0,2020.5388888888897,2020.5186668807457
A_sw_France_72-200277_2020_N_72_2020.43055555556,0.96454359181078,72.0,2020.4305555555602,2020.4098160369458
A_sw_France_72-200305_2020_PSE_72_2020.56111111111,1.149527784004846,72.0,2020.5611111111102,2020.5409952589603
A_sw_France_72-200318_2020_PSE_72_2020.55277777778,1.0000004296675625e-06,72.0,2020.5527777777802,2020.532622117408
A_sw_France_72-200461-1_2020_NE_72_2020.50277777778,1.000000429667541e-06,72.0,2020.5027777777802,2020.4823832664215
A_sw_France_72-200462-2_2020_NE_72_2020.5,1.000000429667541e-06,72.0,2020.5,2020.479592219142
A_sw_France_72-210053-6_2021_NE_72_2021.00833333333,1.000000429667541e-06,72.0,2021.00833333333,2020.9903538708343
A_sw_France_72-210508-1_2021_NE_72_2021.78055555556,1.0000004296676014e-06,72.0,2021.7805555555603,2021.7662650138552
A_sw_France_72-210509-4_2021_NE_72_2021.8,1.0000004296676014e-06,72.0,2021.8,2021.7858023447895
A_sw_France_72-220016-1_2021_PSE_72_2021.98888888889,0.49807471270599896,72.0,2021.9888888888897,2021.9755935593528
A_sw_France_72-220017-3_2022_NE_72_2022.00555555556,0.8078488662042508,72.0,2022.0055555555602,2021.9923398430187
A_sw_France_76-210447-1_2021_PSE_76_2021.40555555556,1.5438650672776582,76.0,2021.4055555555603,2021.3894736311815
A_sw_France_79-210235-4_2021_NE_79_2021.03888888889,2.0,79.0,2021.0388888888897,2021.0210553906104
NODE_0000000,2.0,,,2019.7872531899693
NODE_0000002,0.9991313252981935,,,2020.3799814627491
NODE_0000004,0.0,,,2019.442156323747
NODE_0000005,0.5420914861672362,,,2019.7858556447757
NODE_0000007,1.0455266452346152,,,2020.3395751768958
NODE_0000011,1.0015023170720805,,,2020.9748433393613
NODE_0000019,0.9371727704667036,,,2020.2314207470902
NODE_0000020,0.8042593166622432,,,2020.3588914280706
NODE_0000021,0.9982635898728676,,,2020.0038375896443
NODE_0000022,0.670892307413936,,,2020.2165542445591
NODE_0000024,0.6709259000681578,,,2019.892223976316
NODE_0000026,0.999421165880442,,,2020.4145722607298
NODE_0000031,0.404053679031204,,,2019.956281864321
NODE_0000035,0.291432389661118,,,2020.002484994219
NODE_0000037,0.8025432798620458,,,2020.2568918728923
NODE_0000038,0.25918228356539286,,,2020.1669401873237
NODE_0000039,0.9234995089907471,,,2020.4596480413816
NODE_0000042,0.2694437678273123,,,2020.337802928558
NODE_0000044,1.3383143886338005,,,2021.0154732960523
NODE_0000045,0.5436283701109692,,,2020.3392454902798
NODE_0000051,0.9991313062453,,,2020.5326221171326
NODE_0000052,1.4935290398630139,,,2021.4799973325173
NODE_0000054,0.7099118012786828,,,2021.8177136925433
NODE_0000057,0.9982635679774656,,,2020.4795922188666
NODE_0000062,1.0983518947119384,,,2022.7544431436204
NODE_0000063,0.9991315791894421,,,2021.14463295489
NODE_0000064,0.7308015682154386,,,2022.0737625528716
NODE_0000067,0.8604255150221003,,,2019.9222885883955
NODE_0000068,1.0858954786323856,,,2020.0944276946407
NODE_0000069,1.1433695429784037,,,2020.4568243935566
NODE_0000071,0.5978655378375644,,,2020.0170628878973
NODE_0000074,0.3863787271610841,,,2020.1395128936415
NODE_0000075,0.30285910517364684,,,2020.3318111288954
NODE_0000076,0.4740641704890889,,,2019.8610271616717
NODE_0000083,0.9982628394343734,,,2020.2224616569456
NODE_0000084,1.073533692818029,,,2020.0311780711947
NODE_0000085,1.8066851539826787,,,2020.3175757921083
NODE_0000097,1.7840735423045948,,,2020.5493684007877
NODE_0000099,0.8596516437914634,,,2020.1333316952848
NODE_0000100,0.7054350767212767,,,2020.4684666026767
NODE_0000105,0.4224491589509417,,,2020.535413164412
NODE_0000107,0.998262259095226,,,2020.9842136300963
NODE_0000108,1.1590475505615028,,,2021.167858941071
NODE_0000115,1.0279670885141596,,,2020.5730942706853
NODE_0000116,0.7186107603567453,,,2020.9147953103402
NODE_0000117,0.9643668760079365,,,2020.3195339798574
NODE_0000118,0.4960910074753799,,,2020.4766423268184
NODE_0000122,0.5329720067365902,,,2020.3681574640966
NODE_0000125,0.6859021746620294,,,2019.9697401297708
NODE_0000127,0.9249295929215169,,,2020.5186668807457
NODE_0000131,0.9982634039561435,,,2020.3189467374714
NODE_0000133,0.7443310896071379,,,2020.4369414692792
NODE_0000138,0.9982631136594456,,,2020.4488906988147
NODE_0000140,1.0167475032470412,,,2020.480162991313
NODE_0000142,0.4054431361571674,,,2020.0982133998625
NODE_0000143,0.8982095349610111,,,2021.096649708907
NODE_0000146,0.999000999000999,,,2019.442156323747
NODE_0000147,2.0,,,2020.0633484163654
NODE_0000148,2.0,,,2020.3232935713486
NODE_0000149,2.0,,,2020.1738453335934
NODE_0000150,0.0,,,2020.1738453335934
NODE_0000151,2.0,,,2020.2889751332636
NODE_0000152,2.0,,,2020.289801004028
NODE_0000153,2.0,,,2020.4265623206009
NODE_0000154,2.0,,,2020.4078766877667
NODE_0000155,2.0,,,2020.4153981314942
NODE_0000156,2.0,,,2020.4237712733216
NODE_0000157,2.0,,,2020.563323637174
NODE_0000158,2.0,,,2020.5298310698531
NODE_0000159,2.0,,,2020.543786306239
NODE_0000160,2.0,,,2020.5549504953465
NODE_0000161,2.0,,,2020.5577415426258
NODE_0000162,2.0,,,2020.2159960214385
NODE_0000163,2.0,,,2021.7662650135799
NODE_0000164,2.0,,,2021.7858023445142
NODE_0000165,2.0,,,2020.321329627271
NODE_0000166,2.0,,,2020.3587513375232
NODE_0000167,2.0,,,2020.3595771859593
NODE_0000168,2.0,,,2020.4815573953817
NODE_0000169,2.0,,,2020.4823832661461
NODE_0000170,2.0,,,2020.8279072572795
NODE_0000171,2.0,,,2020.990353870559
NODE_0000172,2.0,,,2020.3735324223348
NODE_0000173,2.0,,,2020.826070450674
NODE_0000174,2.0,,,2020.8594204740223
NODE_0000175,2.0,,,2021.0126822487832
NODE_0000176,2.0,,,2021.0294285324383
NODE_0000177,2.0,,,2020.1379148619346
NODE_0000178,2.0,,,2020.2472712450701
NODE_0000179,0.0,,,2020.2472712450701
NODE_0000180,2.0,,,2020.2599947428453
NODE_0000181,2.0,,,2020.262153637532
NODE_0000182,2.0,,,2020.2629799775984
NODE_0000183,2.0,,,2020.263806220698
NODE_0000184,2.0,,,2020.2646324621553
NODE_0000185,2.0,,,2020.2654587017153
NODE_0000186,2.0,,,2020.2666467550491
NODE_0000187,2.0,,,2020.2674726258135
NODE_0000188,2.0,,,2020.4002148343081
NODE_0000189,2.0,,,2020.418189178773
NODE_0000190,2.0,,,2020.4321444151597
NODE_0000191,2.0,,,2020.437726509708
NODE_0000192,2.0,,,2020.50471164436
NODE_0000193,2.0,,,2020.234863012043
NODE_0000194,2.0,,,2020.2906695760332
NODE_0000195,2.0,,,2020.3720443520144
NODE_0000196,0.0,,,2020.3720443520144
NODE_0000197,2.0,,,2020.5270400225738
NODE_0000198,2.0,,,2019.8455729989528
NODE_0000199,2.0,,,2019.9392531699211
NODE_0000200,2.0,,,2020.1580424482474
NODE_0000201,2.0,,,2020.160699119763
NODE_0000202,2.0,,,2020.1692622343267
NODE_0000203,2.0,,,2020.1906730055857
NODE_0000204,2.0,,,2020.2029960547563
NODE_0000205,2.0,,,2020.0642655541253
NODE_0000206,2.0,,,2020.0877477449162
NODE_0000207,2.0,,,2020.1072794987863
